Permission test successful at 2025-06-17 09:10:12
[17-Jun-2025 09:10:12 Europe/Berlin] PHP Warning:  Undefined variable $some_variable_that_does_not_exist in D:\Apps\XAMPP\htdocs\varuna\public\test_error_log.php on line 53
[17-Jun-2025 13:01:55 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:01:55 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:01:56 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:01:56 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:02:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
